school_name,9th,10th,11th,12th
Bailey High School,77.1,77.0,77.5,76.5
Cabrera High School,83.1,83.2,82.8,83.3
Figueroa High School,76.4,76.5,76.9,77.2
Ford High School,77.4,77.7,76.9,76.2
Griffin High School,82.0,84.2,83.8,83.4
Hernandez High School,77.4,77.3,77.1,77.2
Holden High School,83.8,83.4,85.0,82.9
Huang High School,77.0,75.9,76.4,77.2
Johnson High School,77.2,76.7,77.5,76.9
Pena High School,83.6,83.4,84.3,84.1
Rodriguez High School,76.9,76.6,76.4,77.7
Shelton High School,83.4,82.9,83.4,83.8
Thomas High School,nan,83.1,83.5,83.5
Wilson High School,83.1,83.7,83.2,83.0
Wright High School,83.3,84.0,83.8,83.6
